0,1,2,3,4,5,6
-3.0132,-0.6610,-0.5137,0.1077,-0.2118,-2.3785,-1.9804
-2.9999,-0.6626,-0.5755,0.1232,-0.3582,-2.5745,-1.0600
-3.0088,-0.6625,-0.5342,0.1144,-0.2676,-2.4533,-1.6351
-3.0076,-0.6672,-0.5023,0.1332,-0.3889,-2.5913,-1.0562
-2.9923,-0.6805,-0.5712,0.1692,-0.6379,-2.9252,0.4411
-2.9943,-0.6929,-0.5596,0.1868,-0.7050,-3.0156,0.7878
-3.0111,-0.6251,-0.4933,0.0633,-0.0560,-2.1435,-2.9020
-3.0253,-0.0736,-0.4038,-2.4329,1.4583,-0.3956,-0.9139
-3.0283,-0.1568,-0.3747,-2.3045,0.9021,-1.1444,2.0875
-3.0272,-0.1428,-0.3828,-2.3254,0.9889,-1.0275,1.6257
-3.0002,-0.6397,-0.5418,0.0970,-0.2701,-2.4308,-1.6347
-3.0060,-0.6945,-0.5049,0.1780,-0.5980,-2.8726,0.0976
-3.0125,-0.6934,-0.4749,0.1699,-0.5245,-2.7742,-0.3626
-3.0249,-0.3799,-0.4074,-1.1258,0.1396,-2.2151,0.4787
-3.0127,-0.3293,-0.4736,-1.1938,0.3727,-1.9004,-0.6780
-3.0206,-0.3095,-0.4402,-1.2327,0.5921,-1.6057,-1.9458
-3.0261,-0.4000,-0.3980,-1.0953,0.0102,-2.3893,1.1715
-3.0308,-0.3087,-0.3928,-1.2441,0.7015,-1.4592,-2.6362
-2.9976,-0.6593,-0.5504,0.1306,-0.4351,-2.6527,-0.7120
-3.0319,0.3310,-0.3153,-5.7928,5.5902,7.7350,3.7075
-3.0525,0.3654,-0.2254,-5.8673,6.0419,8.3413,1.0573
-3.0228,-0.1324,-0.4051,-2.3376,1.0177,-0.9884,1.5093
-3.0374,-0.0639,-0.3492,-2.4601,1.6493,-0.1395,-2.0655
-3.0259,-0.1316,-0.3908,-2.3418,1.0547,-0.9388,1.2792
-2.9947,-0.6875,-0.5587,0.1780,-0.6632,-2.9595,0.5569
-3.0117,-0.6560,-0.4851,0.1117,-0.2689,-2.4301,-1.7478
-3.0055,-0.6726,-0.5110,0.1440,-0.4489,-2.6718,-0.7104
-3.0403,-0.1079,-0.3276,-2.3934,1.3687,-0.5173,-0.5645
-3.0305,-0.0674,-0.3805,-2.4478,1.5551,-0.2656,-1.4898
-3.0294,-0.0625,-0.3867,-2.4545,1.5783,-0.2343,-1.6055
-3.0089,-0.6364,-0.5015,0.0833,-0.1582,-2.2808,-2.3253
-3.0258,-0.3724,-0.4047,-1.1386,0.2016,-2.1316,0.1326
-3.0400,-0.0924,-0.3317,-2.4176,1.4751,-0.3741,-1.1415
-3.0174,-0.1054,-0.4348,-2.3750,1.1541,-0.8044,0.8158
-3.0453,-0.0893,-0.3076,-2.4277,1.5507,-0.2727,-1.6021
-3.0243,-0.0929,-0.4052,-2.4015,1.3118,-0.5927,-0.1062
-3.0285,-0.0580,-0.3917,-2.4608,1.6011,-0.2036,-1.7211
-3.0239,-0.0952,-0.4067,-2.3974,1.2913,-0.6203,0.0092
-3.0169,-0.6858,-0.4554,0.1537,-0.4263,-2.6423,-0.9388
-2.9891,-0.6841,-0.5854,0.1781,-0.6960,-3.0031,0.7867
-2.9955,-0.6679,-0.5584,0.1462,-0.5163,-2.7618,-0.2508
-2.9967,-0.6218,-0.5613,0.0722,-0.1793,-2.3083,-2.0971
-2.9997,-0.6748,-0.5379,0.1531,-0.5235,-2.7718,-0.2499
-2.9997,-0.6569,-0.5408,0.1248,-0.3965,-2.6008,-0.9424
-3.0136,-0.6442,-0.4784,0.0911,-0.1662,-2.2920,-2.3244
-3.0114,-0.6254,-0.4922,0.0637,-0.0564,-2.1440,-2.9020
-3.0257,-0.0832,-0.4004,-2.4181,1.3941,-0.4820,-0.5676
-3.0206,-0.1108,-0.4189,-2.3696,1.1485,-0.8121,0.8164
-3.0369,-0.0781,-0.3490,-2.4372,1.5441,-0.2809,-1.4884
-3.0300,-0.0995,-0.3775,-2.3967,1.3231,-0.5779,-0.2204
-3.0305,-0.0644,-0.3810,-2.4526,1.5763,-0.2371,-1.6052
-3.0327,-0.1251,-0.3600,-2.3588,1.1700,-0.7842,0.5881
-3.0051,-0.6509,-0.5169,0.1101,-0.2998,-2.4712,-1.5182
-3.0122,-0.6568,-0.4828,0.1125,-0.2697,-2.4312,-1.7477
-3.0053,-0.6664,-0.5130,0.1342,-0.4062,-2.6144,-0.9412
-3.0449,0.3482,-0.2579,-5.8327,5.8432,8.0745,2.2098
-3.0461,0.2832,-0.2408,-5.7311,5.3962,7.4727,4.6338
-3.0011,-0.6353,-0.5380,0.0892,-0.2294,-2.3761,-1.8654
-2.9989,-0.6315,-0.5491,0.0854,-0.2255,-2.3707,-1.8659
-3.0160,-0.2868,-0.4657,-1.2642,0.7060,-1.4521,-2.5239
-3.0373,-0.3257,-0.3591,-1.2235,0.6477,-1.5321,-2.4040
-3.0040,-0.3718,-0.5061,-1.1182,-0.0150,-2.4215,1.5131
-3.0244,-0.3099,-0.4225,-1.2359,0.6279,-1.5578,-2.1759
-3.0355,-0.3196,-0.3689,-1.2314,0.6722,-1.4991,-2.5198
-3.0074,-0.6878,-0.4996,0.1661,-0.5368,-2.7904,-0.2483
-2.9899,-0.6854,-0.5816,0.1794,-0.6973,-3.0050,0.7868
-3.0081,-0.7281,-0.4889,0.2290,-0.8136,-3.1630,1.2522
-2.9912,-0.6726,-0.5777,0.1579,-0.5936,-2.8655,0.2100
-3.0227,-0.4062,-0.4131,-1.0821,-0.0685,-2.4949,1.6324
-3.0301,-0.3377,-0.3905,-1.1976,0.4907,-1.7429,-1.4822
-3.0120,-0.3521,-0.4727,-1.1571,0.2044,-2.1269,0.2452
-3.0161,-0.3801,-0.4485,-1.1169,0.0489,-2.3365,1.0540
-3.0068,-0.3644,-0.4947,-1.1326,0.0650,-2.3140,1.0520
-3.0052,-0.6331,-0.5194,0.0818,-0.1729,-2.3004,-2.2108
-2.9994,-0.7044,-0.5340,0.2001,-0.7349,-3.0563,0.9041
-3.0269,-0.0553,-0.3994,-2.4634,1.6038,-0.1999,-1.7214
